CountryName,Population
Algeria,45225962
Angola,32097671
Benin,12506347
Botswana,2410338
Burkina Faso,18450494
Burundi,9823828
Cameroon,28524175
Cape Verde,563198
Central African Republic,3859139
Chad,16818391
Comoros,758316
Democratic Republic of the Congo,94420023
Djibouti,976107
Egypt,99281168
Equatorial Guinea,1505588
Eritrea,3601000
Eswatini,1119375
Ethiopia,128004992
Gabon,2233272
Gambia,2487000
Ghana,31072940
Guinea,12907395
Guinea-Bissau,1530673
Ivory Coast,27087732
Kenya,55845793
Lesotho,2007201
Liberia,4661010
Libya,6959000
Madagascar,28427328
Malawi,18898441
Mali,20856000
Mauritania,3718678
Mauritius,1266334
Mayotte (France),212600
Morocco,37034729
Mozambique,28013000
Namibia,2550226
Niger,24112753
Nigeria,218056384
Republic of the Congo,5657000
Réunion (France),840974
Rwanda,12955768
"Saint Helena, Ascension and Tristan da Cunha (UK)",5633
São Tomé and Príncipe,201784
Senegal,14354690
Seychelles,99202
Sierra Leone,8297882
Somalia,15893222
South Africa,60591903
South Sudan,13249924
Sudan,45647651
Tanzania,62757193
Togo,7886000
Tunisia,11746695
Uganda,48325541
Western Sahara,510713
Zambia,15473905
Zimbabwe,15790716
